transaction_id,transaction_status,transaction_at,transaction_location,timezone_transaction,transaction_type
1d1eb8a9e864a1cccb2d850398461807,PAID,2024-05-02T04:49:01.497Z,ARTERI PONDOK INDAH,Asia/Jakarta,NEW
8623f36f36e709fbefe43defcac59583,PAID,2024-05-02T07:53:43.179Z,ARTERI PONDOK INDAH,Asia/Jakarta,NEW
93d48d85048e102d32d02df43138d283,PAID,2024-05-20T04:23:09.444Z,ARTERI PONDOK INDAH,Asia/Jakarta,NEW
07f21743663aacb7d212c286d47a14de,PAID,2024-05-02T14:06:39.196Z,BENHIL,Asia/Jakarta,NEW
bd02c54aeca60d0e82f784be0ad4c84d,PAID,2024-05-03T02:00:59.409Z,BENHIL,Asia/Jakarta,NEW
e42431bb123d41cbedc3e796cbdcd985,PAID,2024-05-01T05:07:30.374Z,SUNSET ROAD,Asia/Makassar,NEW
f192fca27d438c053db425fade152d66,PAID,2024-05-13T10:23:46.166Z,ADITYAWARMAN,Asia/Jakarta,NEW
e05121ea99fed4f4c5224a4667bb3dad,PAID,2024-05-14T06:17:03.25Z,ADITYAWARMAN,Asia/Jakarta,NEW
c8d6bb873db3478e39a43260a0bbac1a,PAID,2024-05-16T04:52:46.484Z,ADITYAWARMAN,Asia/Jakarta,NEW
0ad3f929bef2f8177db401bba99a6692,PAID,2024-05-21T09:47:11.535Z,ADITYAWARMAN,Asia/Jakarta,NEW
62afd56341d234457415c97c9c866aa9,PAID,2024-05-02T04:19:27.651Z,MAMPANG,Asia/Jakarta,NEW
09b9ee18ba1969f7ce8d23546ae09555,PAID,2024-05-02T13:46:38.971Z,GREENVILLE,Asia/Jakarta,NEW
91263eaf2af17ac140c6fc23a68882d3,PAID,2024-05-02T14:10:16.55Z,GREENVILLE,Asia/Jakarta,NEW
d3d0530307725b26e4bac8d6ec2072d8,PAID,2024-05-02T14:59:57.601Z,GREENVILLE,Asia/Jakarta,REJOIN
